id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,100,100,1.0,50,200,1.0,922,5,2,1313805.159236,-1.8151259811485587,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,516,5,2,1276451.105838,-2.4587090938391927,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,50,50,1.0,180,5,2,224207.199511,-0.8889166863642838,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,50,50,1.0,80,5,2,141025.370465,-0.9009036153220956,,,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,336,5,2,737361.189781,-2.443057941926241,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,50,50,1.0,580,5,2,215325.024134,-0.45326200218678625,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,698,5,2,338849.419301,-0.9062251373435548,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,100,100,1.0,200,200,1.0,1112,5,2,2197726.240144,-1.787398740820875,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,294,5,2,723443.657665,-1.7285424439382113,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,50,1.0,112,5,2,189143.783677,-2.0994334081692596,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,100,100,1.0,50,50,1.0,722,5,2,298772.30358,-1.9172180080277181,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,656,5,2,216921.829535,-1.51074617693646,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,50,200,1.0,938,5,2,1230284.503194,-1.1961009517855696,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,50,200,1.0,838,5,2,1246294.765455,-1.0377916012802106,,,0
