id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,50,200,1.0,208,5,2,566666.458055,-0.699948134109729,,,0
13,n**3,-n**3,0.5,100000000.0,True,50,20,100,1.0,50,400,1.0,1843,5,2,1828297.109152,-1.377809690539622,6021.812771106463,1193.3907947654375,0
12,1000000*n,-1000000*n,0.5,100000000.0,True,50,100,100,1.0,50,50,1.0,701,5,2,453884.155556,-0.9023580304523503,,,0
5,n,-n,0.5,10.0,False,50,100,100,1.0,200,200,1.0,1006,5,2,1712236.723981,-1.059424517184782,,,0
9,n**2+20,-n**2+20,0.5,1000.0,True,50,100,100,1.0,50,50,1.0,663,5,2,323659.780899,-1.1243948775573975,31488.977910781578,2466.808044949037,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,True,50,20,100,1.0,50,400,1.0,1801,5,2,1837041.788355,-1.151350514397611,214258.50555761417,21050.964508382018,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,400,400,1.0,1368,5,2,8846682.57454,-1.8341314077303275,,,0
10,n**2+n,-n**2+n,0.5,1000.0,True,50,100,100,1.0,200,200,1.0,1061,5,2,2169598.993988,-1.1482626243922125,96442.53004438526,9010.177298355122,0
7,n,-n,0.5,10000.0,True,50,100,100,1.0,200,200,1.0,1023,5,2,1744208.560241,-1.0148796690576265,60967304.332335204,712183.6733213217,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,100,100,1.0,200,200,1.0,964,5,2,1883024.787146,-0.7048600725627261,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,282,5,2,582251.598654,-1.752085927708703,,,0
5,n,-n,0.5,10.0,True,50,100,100,1.0,400,400,1.0,1387,5,2,9905367.419078,-1.0220785968867225,18131046.869369745,304721.87239575404,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,400,400,1.0,1402,5,2,8811849.061798,-1.1074265934192205,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,400,400,1.0,1440,5,2,9690098.697825,-1.8300248366294636,,,0
3,n**2,-n**2,0.5,100.0,True,50,100,100,1.0,200,200,1.0,989,5,2,1969647.468747,-1.1579635467242284,19718.798275412308,2035.0142046363746,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,50,400,1.0,1888,5,2,2111062.940024,-1.3111549362204702,,,0
